fen,cp
r3r1k1/pp3pbp/1qp3p1/2B5/2BP2b1/Q1n2N2/P4PPP/3R1K1R b - -,-344.0
r1bqkb1r/ppp2ppp/2n5/3np1N1/2B5/5Q2/PPPP1PPP/RNB1K2R b KQkq -,-259.0
2r2r1k/1pN1Qpbp/p4pp1/qb6/8/1B6/PP3PPP/2RR2K1 w - -,510.0
r1b1kb1r/ppp2ppp/2n1p3/6B1/3P4/3B1N1P/PPP2Pq1/R2QK2R w KQkq -,557.0
r1bq1b1r/ppp2kpp/2n5/3np3/2B5/5Q2/PPPP1PPP/RNB1K2R b KQ -,87.0
r1b1k2r/ppppnppp/2n2q2/2b5/3NP3/2P1B3/PP3PPP/RN1QKB1R w KQkq -,25.0
2k1rb1r/ppp3p1/2n2q2/7p/4BP2/2P1BQ2/PP3P1P/2KR3R b - -,480.0
r1b1kb1r/ppp2ppp/2n1p3/6B1/3P4/3B1N1P/PPP2PqR/R2QK3 b Qkq -,676.0
rnbqk1nr/pppp2pp/4p3/5p2/1bPP4/2N5/PP1BPPPP/R2QKBNR b KQkq -,43.0
r5k1/ppp2p1p/6pB/8/3bP1nq/2NB2RP/PPP3P1/R2Q3K b - -,-530.0
rn1qkb1r/pp3pp1/2p1pn1p/3p3b/2PP1B2/2N1PN1P/PP3PP1/R2QKB1R w KQkq -,95.0
r1bqkbnr/2pp1ppp/p1n5/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQK2R b KQkq -,24.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P1P3/5N2/PP1P1PPP/RNBQKB1R w KQkq -,0.0
r1b1k2r/ppp2pp1/2p5/2b5/3qP1p1/2N5/PPPPBPP1/R1BQ1RK1 w kq -,-480.0
8/1p4q1/p2k4/6p1/P3b3/2Q4P/5PP1/6K1 w - -,5438.0
rnbqk2r/pppp2pp/4pn2/5p2/1bPP4/2N5/PP1BPPPP/R2QKBNR w KQkq -,60.0
rn1qkbnr/ppp2ppp/4p3/3p1b2/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq -,20.0
rnbqk1nr/pp2ppbp/3p2p1/2p3B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,-9.0
rnbqk1nr/ppp2pbp/3p2p1/4p3/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,67.0
r5k1/ppp2p1p/6pB/8/3bP2q/2NB2RP/PPP2nP1/R2Q3K w - -,-431.0
r1bqk1nr/pppp1ppp/8/4b3/4P3/2N5/PPP2PPP/R1BQKB1R w KQkq -,73.0
rnbqk1nr/pp2ppbp/3p2p1/6B1/2Pp4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,0.0
r1b1kb1r/ppp2ppp/2n5/3Bp1q1/8/5Q2/PPPP1PPP/RNB1K2R b KQkq -,-71.0
8/5k2/8/2B5/8/r6P/8/6K1 w - -,17.0
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,22.0
r3k3/ppp2pp1/2p1b3/8/3KP1p1/2N3q1/PPPPB2r/R1BQ1R2 w q -,-1020.0
r1bqk1nr/ppp3bp/2np1pp1/4p3/2PPP3/2N1BN2/PP3PPP/R2QKB1R b KQkq -,77.0
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1B2/3BPN2/PPP2PPP/RN1QK2R b KQkq -,7.0
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,30.0
4k2r/2n2p1p/6p1/3n4/5Q2/8/5PPP/6K1 w - -,453.0
r1bqkb1r/pppp1ppp/2n5/8/2Bpn3/5N2/PPP2PPP/RNBQ1RK1 w kq -,0.0
rnbqkbnr/pp3ppp/2p1p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -,18.0
r1bq1b1r/ppp3pp/2n1k3/3np3/2B5/5Q2/PPPP1PPP/RNB1K2R w KQ -,95.0
r1b1k1nr/pppp1ppp/2n5/8/1b1NP2q/2N5/PPP2PPP/R1BQKB1R w KQkq -,87.0
5k2/1pb2p1b/2pr3p/5B1N/1P5P/8/4N3/3R3K w - -,336.0
rnb1kb1r/ppppqppp/3n4/4N3/2B5/8/PPPPQPPP/RNB1K2R w KQkq -,12.0
r1bq1b1r/ppp3pp/2n1k3/3np3/2B5/2N2Q2/PPPP1PPP/R1B1K2R b KQ -,56.0
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -,16.0
8/1q6/p3p1k1/2P1Q2p/P3P2P/2P5/4r1PK/8 w - -,5218.0
rnbqkb1r/ppp2ppp/8/3pN3/3Pn3/3B4/PPP2PPP/RNBQK2R b KQkq -,29.0
r1bqk1nr/ppp1ppbp/2np2p1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,111.0
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,22.0
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,24.0
r2qk2r/pppn1ppp/3bpn2/3p1b2/3P4/2P1PNB1/PP1N1PPP/R2QKB1R b KQkq -,0.0
r1bq1b1r/ppp3pp/4k3/3np3/1nB5/2N2Q2/PPPP1PPP/R1B1K2R w KQ -,115.0
r1bqkb1r/pppp1ppp/2n5/8/2BNn3/8/PPP2PPP/RNBQ1RK1 b kq -,-87.0
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,21.0
r1bqk1nr/ppp1ppbp/2np2p1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,40.0
8/8/8/3p4/1k6/1P6/K1P5/8 w - -,6050.0
r1bqkb1r/2pp1ppp/p1n5/1p2p3/4n3/1B3N2/PPPP1PPP/RNBQ1RK1 w kq -,94.0
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq -,23.0
r2qk1nr/ppp1ppbp/2np2p1/8/2PPP1b1/2N2N2/PP3PPP/R1BQKB1R w KQkq -,45.0
4k2r/2n2p1p/6p1/3nQ3/8/8/5PPP/6K1 b - -,455.0
r3k3/ppp2pp1/2p1b3/3N4/3KP1p1/6q1/PPPPB2r/R1BQ1R2 b q -,-982.0
5q2/3k2pp/8/8/8/5N2/6PP/5RK1 w - -,12838.0
7r/2nk1p1p/6p1/3nQ3/8/8/5PPP/6K1 w - -,464.0
r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQK2R w KQkq -,37.0
r3k3/ppp2pp1/4b3/3p4/3KP1p1/6q1/PPPPB2r/R1BQ1R2 w q -,-713.0
r2qk1nr/ppp2pbp/2np2p1/4p3/2PPP1b1/2N1BN2/PP3PPP/R2QKB1R w KQkq -,72.0
7Q/2nk1p2/6p1/3n3p/8/8/5PPP/6K1 w - -,528.0
rnbqkbnr/pp3ppp/8/3p4/3Np3/6P1/PP1PPP1P/RNBQKB1R w KQkq -,54.0
r3k3/ppp2pp1/4b3/3p4/3KP1p1/3P2q1/PPP1B2r/R1BQ1R2 b q -,-756.0
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq -,0.0
r2q1rk1/pppn1ppp/3bpn2/3p1b2/3P4/2P1PNB1/PP1N1PPP/R2QKB1R w KQ -,-3.0
r1bqkb1r/pppp1ppp/2n5/8/2Bpn3/5N2/PPP2PPP/RNBQR1K1 b kq -,0.0
2r2r1k/1p2Qpbp/p4pp1/qN6/8/1B6/PP3PPP/2RR2K1 b - -,6.0
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq -,7.0
r1b1k1nr/1ppp1ppp/p1n5/b7/4P2q/N1NB4/PPP2PPP/R1BQK2R b KQkq -,-50.0
5r1k/1p2Qpbp/p4pp1/qN6/8/1B6/PP3PPP/2rR2K1 w - -,0.0
r3k3/pp3pp1/4b3/2pp4/3KP1p1/3P2q1/PPP1B2r/R1BQ1R2 w q -,-873.0
r1bqkb1r/ppp2ppp/5n2/n2Pp1N1/2B5/8/PPPP1PPP/RNBQK2R w KQkq -,11.0
8/8/8/8/1k1p4/1P6/1KP5/8 w - -,0.0
r2qkb1r/ppp1pppp/2n2n2/3p1b2/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq -,48.0
8/1N2bp2/2p4p/1k6/1P4B1/3N1K2/8/8 b - -,494.0
5r1k/1p2Qpbp/p4pp1/1q6/8/1B6/PP3PPP/2R3K1 w - -,0.0
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/4PN2/PP2BPPP/RNBQK2R w KQkq -,46.0
r3k3/pp3pp1/4b3/2pp4/4P1p1/2KP2q1/PPP1B2r/R1BQ1R2 b q -,-751.0
r1bq1rk1/ppp1ppbp/2np1np1/8/3P1B2/2P1PN1P/PP2BPP1/RN1QK2R b KQ -,0.0
8/2nknp2/6p1/4Q2p/8/8/5PPP/6K1 w - -,323.0
r1bqkb1r/pp3ppp/2p2n2/nB1Pp1N1/8/8/PPPP1PPP/RNBQK2R w KQkq -,0.0
r1bqk1nr/ppp1ppbp/3p2p1/3P4/2PnP3/2N5/PP3PPP/R1BQKBNR w KQkq -,74.0
rnbq1rk1/ppp2pbp/4pnp1/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - -,50.0
r3k3/pp3pp1/4b3/2ppq3/4P1p1/2KP4/PPP1B2r/R1BQ1R2 w q -,-672.0
r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQ1RK1 b kq -,27.0
r1bqk1nr/pp2ppbp/3p2p1/2pP4/2PnP3/2N1B3/PP3PPP/R2QKBNR w KQkq c6,88.0
rnb1kbnr/ppp1pppp/8/3q2N1/8/3p4/PPP2PPP/RNBQKB1R w KQkq -,7.0
rnbqk1nr/pp3ppp/4p3/2ppP3/1b1P4/2N5/PPP2PPP/R1BQKBNR w KQkq -,77.0
5q2/3k2pp/8/4N3/8/8/6PP/5RK1 b - -,15265.0
8/8/8/3p4/1k6/1P6/2P5/1K6 b - -,0.0
r3k3/pp3pp1/4b3/2ppq3/4P1p1/3P4/PPPKB2r/R1BQ1R2 b q -,-1003.0
rnbq1rk1/ppp2pbp/4pnp1/3p4/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 b - -,43.0
4kq2/6pp/8/4N3/8/8/6PP/5RK1 w - -,8583.0
r1bqkb1r/p4ppp/2p2n2/nB2p1N1/8/8/PPPP1PPP/RNBQK2R w KQkq -,13.0
r2q1rk1/pppnppbp/2np2p1/6B1/3PP1b1/2N1QN2/PPP2PPP/2KR1B1R b - -,53.0
rnbqk1nr/pp3ppp/4p3/2ppP3/3P4/P1b5/1PP2PPP/R1BQKBNR w KQkq -,66.0
5k2/6pp/8/4N3/8/8/6PP/6K1 w - -,6843.0
r1bqkb1r/ppp2Npp/2n5/3np3/2B5/8/PPPP1PPP/RNBQK2R b KQkq -,55.0
5k2/3q2pp/8/8/8/5N2/6PP/5RK1 w - -,18.0
rnbqk2r/pppp1ppp/5n2/2b1p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq -,42.0
r1bqk1nr/pp2ppbp/3p2p1/2pP4/2PnP3/2N1B3/PP2NPPP/R2QKB1R b KQkq -,130.0
r1bq1rk1/ppp2ppp/2nb1n2/3p4/8/P3PN2/1BPP1PPP/RN1QKB1R w KQ -,40.0
r1bqk1nr/ppp1ppbp/2np2p1/3P4/2P1P3/2N5/PP3PPP/R1BQKBNR b KQkq -,95.0
r1bqk2r/pppp1ppp/2n2n2/2b1P3/2Bp4/2P2N2/PP3PPP/RNBQK2R b KQkq -,0.0
rnbqkb1r/1p3ppp/p2ppn2/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,35.0
r3r1k1/pp3pbp/1qp1b1p1/2B5/2BP4/Q1n2N2/P4PPP/3R1K1R w - -,-271.0
rnbq1rk1/ppp2pbp/5pp1/3p4/3PP3/5N2/PPPN1PPP/R2QKB1R w KQ -,-27.0
rnbqk1nr/ppp1ppbp/3p2p1/8/2PPP3/8/PP3PPP/RNBQKBNR w KQkq -,55.0
r1bqkb1r/pp3ppp/2n2n2/4p3/8/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,95.0
rnbq1rk1/pp2ppbp/3p1np1/2pP4/2P5/4PN2/PP2BPPP/RNBQ1RK1 b - -,0.0
r3k3/7p/6p1/5p2/5r2/2NP4/PPP2PPP/R5K1 w - -,870.0
rnbq1rk1/pp1p1ppp/2p2n2/2b1p3/2P5/2N1P1P1/PP1PNPBP/R1BQK2R b KQ -,0.0
r2qkb1r/ppp2ppp/2n1pn2/3p1bB1/3P4/5NP1/PPP1PPBP/RN1Q1RK1 b kq -,13.0
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2P1P3/3B1N2/PP1P1PPP/RNBQ1RK1 w - -,-40.0
rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq -,16.0
r3qrk1/pppnppbp/2np2p1/6B1/3PP1b1/2N1QN2/PPP2PPP/2KR1B1R w - -,165.0
r4k2/2r2pp1/7p/3P4/4B3/5N2/6PP/5RK1 w - -,744.0
rn1qkb1r/ppp1pppp/5n2/3P4/2P3b1/5N2/PP1P1PPP/RNBQKB1R b KQkq -,83.0
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq -,-17.0
8/8/8/3p4/1k6/1P6/2P5/1K6 w - -,28.0
1rb2rk1/p1q2ppp/1pnbp3/2pn4/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 w - -,44.0
r3k3/7p/6p1/3N1p2/5r2/3P4/PPP2PPP/R5K1 b - -,860.0
2rq1r1k/pp3pRp/1b1p4/3p4/4P3/3B1P2/Pn2NP1P/6RK w - -,-1566.0
8/1q6/p3p1k1/2P3Qp/P3P2P/2P5/4r1PK/8 b - -,1171.0
rnbqk2r/pp3pbp/3ppnp1/2pP4/2P1PP2/2N2N2/PP4PP/R1BQKB1R b KQkq -,13.0
r3k3/7p/6p1/3N1p2/r7/3P4/PPP2PPP/R5K1 w - -,917.0
r3qrk1/pppnppbp/2np2pB/8/3PP1b1/2N1QN2/PPP2PPP/2KR1B1R b - -,149.0
rn1qkb1r/pp2pppp/2p2n2/3P4/2PP2b1/5N2/PP3PPP/RNBQKB1R b KQkq -,17.0
rnbqk1nr/ppp2ppp/3bp3/3p4/3P4/4P1B1/PPP2PPP/RN1QKBNR b KQkq -,11.0
r2qkb1r/ppp2ppp/2n1pn2/3p1b2/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq -,52.0
1rb2rk1/p1q2ppp/1pnNp3/3n4/2pP4/2P2NP1/PP3PBP/R1BQR1K1 b - -,101.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq -,6.0
rn1qkb1r/pp2pppp/5n2/3p4/2PP2b1/5N2/PP2BPPP/RNBQK2R b KQkq -,0.0
r3k3/2N4p/6p1/5p2/r7/3P4/PPP2PPP/R5K1 b - -,896.0
r7/2Nk3p/6p1/5p2/r7/3P4/PPP2PPP/R5K1 w - -,892.0
r4k2/2r3p1/6pp/3P4/8/5N2/6PP/5RK1 w - -,-97.0
rn1q1rk1/pbpp1ppp/1p2p3/6N1/2PPn3/6P1/PPQ1PPBP/R3K2R w KQ -,59.0
1rb2rk1/p4ppp/1pnqp3/3n2N1/2pP4/2P3P1/PP3PBP/R1BQR1K1 b - -,33.0
r2qkb1r/ppp2ppp/2n1pn2/3p1b2/3P4/2P2NP1/PP2PPBP/RNBQ1RK1 b kq -,0.0
rnbqkbnr/pppp1ppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq -,-5.0
r7/3k3p/6p1/5p2/8/3P4/PPP2PPP/R5K1 w - -,908.0
8/8/8/3p4/8/1Pk5/2P5/2K5 w - -,27.0
8/8/8/8/3p4/1Pk5/2P5/3K4 w - -,26.0
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,11.0
3r1k2/pp1n2pb/q1p1Qp2/2P2r2/3Pp1Np/P1P1B2P/6P1/1R1R2K1 w - -,2033.0
r1bqkb1r/pp3ppp/2n1pn2/2pp4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,15.0
rnbqk1nr/ppppppbp/6p1/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -,69.0
rn1qkb1r/pp1bpppp/5n2/3P4/2B5/8/PP1P1PPP/RNBQK1NR b KQkq -,29.0
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/P1N2N2/1PPP1PPP/R1BQK2R b KQkq -,0.0
r4k2/2r2pp1/3P3p/8/4B3/5N2/6PP/5RK1 b - -,633.0
1rb2rk1/p4ppp/1p1qp1n1/3n2N1/2pP3P/2P3P1/PPQ2PB1/R1B1R1K1 b - -,220.0
2r2r1k/1pN1Qpbp/p4pp1/1bR5/1q6/1B6/PP3PPP/3R2K1 w - -,-161.0
rn1q1rk1/pbpp1ppp/1p2p3/6N1/2PPB3/6P1/PPQ1PP1P/R3K2R b KQ -,50.0
r4k2/3r1pp1/3P3p/8/4B3/5N2/6PP/5RK1 w - -,709.0
8/8/8/8/8/1Pkp4/2P5/2K5 w - -,25.0
rn1qkb1r/p2bpppp/5n2/1p1P4/8/1B6/PP1P1PPP/RNBQK1NR b KQkq -,34.0
8/1bRQ1ppk/p3p2p/1p1q4/3Pp3/1P2b1P1/P5KP/8 b - -,-851.0
rn1qkb1r/3bpppp/5n2/pp1P4/8/1B6/PP1P1PPP/RNBQK1NR w KQkq -,26.0
rnbqk1nr/1pp1ppbp/p2p2p1/8/3PP3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,76.0
r1bqkbnr/pppp1ppp/2n5/8/4P3/4Q3/PPP2PPP/RNB1KBNR b KQkq -,0.0
2b2rk1/p3q2p/1p1p2p1/2pP1r2/2B5/6QP/PPP2RP1/5RK1 b - -,-113.0
rnbqk2r/ppppppbp/5np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,15.0
4r3/pp1nr3/2p4p/4pkb1/4RP2/1PBN2P1/P1P1K3/3R4 w - -,568.0
r1bqkb1r/pppp1ppp/2nn4/1B2p3/8/5N2/PPPP1PPP/RNBQR1K1 w kq -,24.0
rnbqkbnr/pp3ppp/2p1p3/3p4/2PP1B2/2N5/PP2PPPP/R2QKBNR b KQkq -,-13.0
r1bqk2r/pppp1p1p/2n2np1/2bNp3/2B1P1Q1/8/PPPP1PPP/R1B1K1NR w KQkq -,0.0
rn1q1rk1/p1pp1ppp/1p2p3/6N1/2PPb3/6P1/PPQ1PP1P/R3K2R w KQ -,46.0
1rb2rk1/p4ppn/1p1qp1n1/7P/2pP4/2P3P1/PPQ2PB1/R1B1R1K1 b - -,272.0
r1bqk2r/ppp2pp1/2p2n2/2b4p/4P3/2N4P/PPPPBPP1/R1BQK2R b KQkq -,-81.0
rnbqk1nr/ppppppbp/6p1/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq -,54.0
3r1k2/pp4pb/q1p1Qn2/2P2r2/3Pp2p/P1P1B2P/6P1/1R1R2K1 w - -,-485.0
rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq -,0.0
r1b1k2r/ppp2pp1/2p2n2/2b4p/3qP3/2N4P/PPPPBPP1/R1BQ1RK1 b kq -,-256.0
8/8/8/8/3p4/1Pk5/2P5/2K5 b - -,25.0
5Bk1/1b1r2p1/q4p1p/2Q5/2P5/6PP/P4P2/4R1K1 b - -,-1178.0
1rbq1rk1/p4ppn/1p2p3/7P/2pP1B1n/2P3P1/PPQ2PB1/R3R1K1 w - -,197.0
1rbq1rk1/p4ppn/1p2p3/7P/2pP1B1P/2P5/PPQ2PB1/R3R1K1 b - -,312.0
rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N1B3/PPP2PPP/R2QKBNR b KQkq -,51.0
rnbqkbnr/ppp2ppp/4p3/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -,25.0
2bq1rk1/pr3ppn/1p2p2P/8/2pP1B1P/2P5/PPQ2PB1/R3R1K1 b - -,192.0
r1b1k2r/ppp2pp1/2p5/4q3/4P1p1/2N3P1/PPPPBbK1/R1BQ1R2 w kq -,-598.0
rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,72.0
2b2rk1/pr3ppn/1p2p2P/8/2pP1B1q/2P5/PPQ2PB1/R3R1K1 w - -,149.0
r1bqkb1r/pppp1ppp/2nn4/1B2p3/P7/5N2/1PPP1PPP/RNBQR1K1 b kq -,15.0
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq -,17.0
2qb2k1/5rpp/p3Q3/2N1p3/4P3/3Pp3/1P4PP/1K6 w - -,0.0
2b2rk1/pr3pPn/1p2p3/8/2pP1B1q/2P5/PPQ2PB1/R3R1K1 b - -,188.0
rnbqkb1r/1p3ppp/p2p1n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R b KQkq -,0.0
2b2r2/pr3pkn/1p2p3/8/2pP1B1q/2P5/PPQ2PB1/R3R1K1 w - -,405.0
r1bqkb1r/pppp1ppp/2n5/1n2p3/P7/5N2/1PPP1PPP/RNBQR1K1 w kq -,194.0
rnbqk1nr/ppp1ppbp/3p2p1/8/3PPP2/2N5/PPP3PP/R1BQKBNR b KQkq -,55.0
r1b1k2r/ppp2pp1/2p5/4q3/4P1p1/2N3P1/PPPPBRK1/R1BQ4 b kq -,-528.0
8/8/8/8/8/1P1k4/8/2K5 w - -,24.0
2r2r1k/1pN1Qpbp/p3Bpp1/q7/8/8/PP2bPPP/2RR2K1 w - -,551.0
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w kq -,28.0
rnb1k1nr/ppq2ppp/4p3/3pP3/3p3P/P1P5/2P2PP1/R1BQKBNR w KQkq -,97.0
8/8/8/8/8/1P1k4/1K6/8 b - -,23.0
8/8/8/8/3k4/1P6/1K6/8 w - -,23.0
rnb1kbnr/ppp2ppp/8/3qp1N1/4p3/3P4/PPP2PPP/RNBQKB1R w KQkq -,6.0
r1bqkb1r/pppp1ppp/2n5/1P2p3/8/5N2/1PPP1PPP/RNBQR1K1 b kq -,175.0
r1b1k2r/ppp2pp1/2p5/7q/4P1p1/2N3P1/PPPPBRK1/R1BQ4 w kq -,-738.0
r1b1k2r/ppp2pp1/2p5/5R1q/4P1p1/2N3P1/PPPPB1K1/R1BQ4 b kq -,-746.0
4r3/1R1P1k1p/1p1q2p1/1Pp5/2P5/6P1/6KP/8 w - -,22.0
rnbqk2r/pp3pbp/3p1np1/2pp4/2P1PP2/2N2N2/PP4PP/R1BQKB1R w KQkq -,43.0
8/8/1k6/8/K7/1P6/8/8 w - -,21.0
r1b1k2r/ppp2pp1/2p5/5R2/4P1p1/2N3P1/PPPPB1Kq/R1BQ4 w kq -,-686.0
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,64.0
r1b2rk1/ppp2ppp/2p2q2/8/4K3/3P3P/PPP3P1/RNBQ1B1R w - -,157.0
r1b1k2r/ppp2pp1/2p5/5R2/4P1p1/2N3P1/PPPPB2q/R1BQ1K2 b kq -,-568.0
r1bqkbnr/pppp1ppp/8/1B2p3/3nP3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,8.0
2b2r2/pr3pkn/1p2p3/8/2pPRB1q/2P5/PPQ2PB1/R5K1 b - -,405.0
8/8/4N1B1/8/8/4k3/8/2K5 w - -,16.0
8/8/k7/8/KP6/8/8/8 w - -,0.0
r1bqkbnr/pppp1ppp/8/1B2p3/3nP3/2NP4/PPP2PPP/R1BQK1NR b KQkq -,-56.0
2B2r1k/1pN1Qpbp/p4pp1/q7/8/8/PP3PPP/2Rb2K1 w - -,562.0
r3kb1r/pp1n1ppp/1qp1pn2/3p1b2/3P1B2/1QP1PN2/PP1N1PPP/R3KB1R w KQkq -,47.0
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,41.0
8/8/1k6/8/KP6/8/8/8 b - -,0.0
rnbqk2r/1p2bppp/p2p1n2/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,25.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -,18.0
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -,20.0
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQ -,11.0
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,57.0
r1b1k2r/ppp2pp1/2p5/7q/4PRp1/2N3P1/PPPPB1K1/R1BQ4 b kq -,-27.0
r1b2rk1/pp2ppbp/1qnp1np1/4P3/3N1P2/2N1B3/PPP1B1PP/R2Q1RK1 b - -,-31.0
rnbqk2r/1p2bppp/p2p1n2/4p3/2B1P3/2N1BN2/PPP2PPP/R2QK2R b KQkq -,0.0
rn1qkbnr/ppp1pppp/8/3p1b2/8/4PN2/PPPP1PPP/RNBQKB1R w KQkq -,45.0
3Qr3/1R2qk1p/1p4p1/1Pp5/2P5/6P1/6KP/8 w - -,21.0
r1b1k2r/ppp2pp1/2p5/8/4PRp1/2N3P1/PPPPB1Kq/R1BQ4 w kq -,-20.0
rn1qkbnr/ppp1pppp/8/3p1b2/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -,21.0
8/1k6/8/1K6/1P6/8/8/8 w - -,0.0
r1b1k2r/ppp2pp1/2p5/8/4PRp1/2N3q1/PPPPB3/R1BQ1K2 w kq -,-17.0
rn1qkbnr/ppp1pppp/8/3p1b2/2P5/4PN2/PP1P1PPP/RNBQKB1R b KQkq -,40.0
8/2k5/8/1K6/1P6/8/8/8 b - -,0.0
rn1qkbnr/ppp1pppp/8/3p1b2/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq -,22.0
8/1k6/8/2K5/1P6/8/8/8 b - -,0.0
7k/pbp1r2p/1p3q2/4nP2/1PP1p2p/P3P3/4B1R1/B3Q2K w - -,1344.0
8/1k6/8/2K5/8/1P6/8/8 w - -,19.0
rn1qkbnr/ppp2ppp/4p3/3p1b2/2P5/4PN2/PP1P1PPP/RNBQKB1R w KQkq -,58.0
rn1qk2r/1p2bppp/p2pbn2/4p3/2B1P3/2N1BN2/PPP2PPP/R2QK2R w KQkq -,0.0
8/k7/2K5/8/8/1P6/8/8 b - -,17.0
k7/8/2K5/8/8/1P6/8/8 w - -,17.0
5Bk1/1b1r2p1/4qp1p/2Q5/2P5/6PP/P4P2/4R1K1 w - -,-987.0
rn1qkbnr/pp3ppp/4p3/2pp1b2/3P1B2/4P3/PPPN1PPP/R2QKBNR w KQkq -,43.0
1k6/8/2K5/8/1P6/8/8/8 w - -,16.0
rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,50.0
rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2N1B3/PPPQ1PPP/R3KBNR b KQkq -,68.0
